"NEWID","UCC","PUB_FLAG","AMOUNT","AMOUNT_","IMPNUM"
1047231,"980000","1",19845,,"1"
1047231,"980000","1",15252,,"2"
1047231,"980000","1",15338,,"3"
1047231,"980000","1",15082,,"4"
1047231,"980000","1",18596,,"5"
1047231,"980070","1",19845,,"1"
1047231,"980070","1",15252,,"2"
1047231,"980070","1",15338,,"3"
1047231,"980070","1",15082,,"4"
1047231,"980070","1",18596,,"5"
1047232,"800940","1",1404,,"1"
1047232,"800940","1",1193,,"2"
1047232,"800940","1",1167,,"3"
1047232,"800940","1",1302,,"4"
1047232,"800940","1",1296,,"5"
1047232,"900000","1",18359,,"1"
1047232,"900000","1",15600,,"2"
1047232,"900000","1",15256,,"3"
1047232,"900000","1",17015,,"4"
1047232,"900000","1",16942,,"5"
1047232,"980000","1",18359,,"1"
1047232,"980000","1",15600,,"2"
1047232,"980000","1",15256,,"3"
1047232,"980000","1",17015,,"4"
1047232,"980000","1",16942,,"5"
1047232,"980070","1",18359,,"1"
1047232,"980070","1",15600,,"2"
1047232,"980070","1",15256,,"3"
1047232,"980070","1",17015,,"4"
1047232,"980070","1",16942,,"5"
1060281,"800940","1",7650,,"1"
1060281,"800940","1",7650,,"2"
1060281,"800940","1",7650,,"3"
1060281,"800940","1",7650,,"4"
1060281,"800940","1",7650,,"5"
1060281,"900000","1",100000,,"1"
1060281,"900000","1",100000,,"2"
1060281,"900000","1",100000,,"3"
1060281,"900000","1",100000,,"4"
1060281,"900000","1",100000,,"5"
1060281,"900080","1",600,,"1"
1060281,"900080","1",600,,"2"
1060281,"900080","1",600,,"3"
1060281,"900080","1",600,,"4"
1060281,"900080","1",600,,"5"
1060281,"950002","1",45292,"T","1"
1060281,"950002","1",45292,"T","2"
1060281,"950002","1",45292,"T","3"
1060281,"950002","1",45292,"T","4"
1060281,"950002","1",45292,"T","5"
1060281,"950012","1",7143,,"1"
1060281,"950012","1",7143,,"2"
1060281,"950012","1",7143,,"3"
1060281,"950012","1",7143,,"4"
1060281,"950012","1",7143,,"5"
1060281,"980000","1",100600,,"1"
1060281,"980000","1",100600,,"2"
1060281,"980000","1",100600,,"3"
1060281,"980000","1",100600,,"4"
1060281,"980000","1",100600,,"5"
1060281,"980070","1",48165,"T","1"
1060281,"980070","1",48165,"T","2"
1060281,"980070","1",48165,"T","3"
1060281,"980070","1",48165,"T","4"
1060281,"980070","1",48165,"T","5"
1060282,"800940","1",7650,,"1"
1060282,"800940","1",7650,,"2"
1060282,"800940","1",7650,,"3"
1060282,"800940","1",7650,,"4"
1060282,"800940","1",7650,,"5"
1060282,"900000","1",100000,,"1"
1060282,"900000","1",100000,,"2"
1060282,"900000","1",100000,,"3"
1060282,"900000","1",100000,,"4"
1060282,"900000","1",100000,,"5"
1060282,"900080","1",600,,"1"
1060282,"900080","1",600,,"2"
1060282,"900080","1",600,,"3"
1060282,"900080","1",600,,"4"
1060282,"900080","1",600,,"5"
1060282,"950002","1",45292,"T","1"
1060282,"950002","1",45292,"T","2"
1060282,"950002","1",45292,"T","3"
1060282,"950002","1",45292,"T","4"
1060282,"950002","1",45292,"T","5"
1060282,"950012","1",7143,,"1"
1060282,"950012","1",7143,,"2"
1060282,"950012","1",7143,,"3"
1060282,"950012","1",7143,,"4"
1060282,"950012","1",7143,,"5"
1060282,"980000","1",100600,,"1"
1060282,"980000","1",100600,,"2"
1060282,"980000","1",100600,,"3"
1060282,"980000","1",100600,,"4"
1060282,"980000","1",100600,,"5"
1060282,"980070","1",48165,"T","1"
1060282,"980070","1",48165,"T","2"
1060282,"980070","1",48165,"T","3"
1060282,"980070","1",48165,"T","4"
1060282,"980070","1",48165,"T","5"
1058371,"900030","1",23501,,"1"
1058371,"900030","1",23501,,"2"
1058371,"900030","1",23501,,"3"
1058371,"900030","1",23501,,"4"
1058371,"900030","1",23501,,"5"
1058371,"900040","1",15,,"1"
1058371,"900040","1",15,,"2"
1058371,"900040","1",15,,"3"
1058371,"900040","1",15,,"4"
1058371,"900040","1",15,,"5"
1058371,"980000","1",23516,,"1"
1058371,"980000","1",23516,,"2"
1058371,"980000","1",23516,,"3"
1058371,"980000","1",23516,,"4"
1058371,"980000","1",23516,,"5"
1058371,"980070","1",24016,,"1"
1058371,"980070","1",24016,,"2"
1058371,"980070","1",24016,,"3"
1058371,"980070","1",24016,,"4"
1058371,"980070","1",24016,,"5"
1058372,"900030","1",23501,,"1"
1058372,"900030","1",23501,,"2"
1058372,"900030","1",23501,,"3"
1058372,"900030","1",23501,,"4"
1058372,"900030","1",23501,,"5"
1058372,"900040","1",15,,"1"
1058372,"900040","1",15,,"2"
1058372,"900040","1",15,,"3"
1058372,"900040","1",15,,"4"
1058372,"900040","1",15,,"5"
1058372,"980000","1",23516,,"1"
1058372,"980000","1",23516,,"2"
1058372,"980000","1",23516,,"3"
1058372,"980000","1",23516,,"4"
1058372,"980000","1",23516,,"5"
1058372,"980070","1",24016,,"1"
1058372,"980070","1",24016,,"2"
1058372,"980070","1",24016,,"3"
1058372,"980070","1",24016,,"4"
1058372,"980070","1",24016,,"5"
1054741,"800940","1",17519,,"1"
1054741,"800940","1",17519,,"2"
1054741,"800940","1",17519,,"3"
