"UCC","AMOUNT","IMPNUM","NEWID","PUB_FLAG","AMOUNT_"
"980000",78354,"3",1482652,"1",
"980000",58272,"4",1482652,"1",
"980000",102692,"5",1482652,"1",
"980070",133201,"1",1482652,"1",
"980070",75072,"2",1482652,"1",
"980070",78354,"3",1482652,"1",
"980070",58272,"4",1482652,"1",
"980070",102692,"5",1482652,"1",
"900000",76155,"1",1482661,"1",
"900000",61566,"2",1482661,"1",
"900000",122578,"3",1482661,"1",
"900000",63725,"4",1482661,"1",
"900000",95707,"5",1482661,"1",
"900120",1688,"1",1482661,"1",
"900120",414,"2",1482661,"1",
"900120",53,"3",1482661,"1",
"900120",1,"4",1482661,"1",
"900120",41,"5",1482661,"1",
"900150",11604,"1",1482661,"1",
"900150",8064,"2",1482661,"1",
"900150",5292,"3",1482661,"1",
"900150",7788,"4",1482661,"1",
"900150",5508,"5",1482661,"1",
"900210",7460,"1",1482661,"1",
"900210",10638,"2",1482661,"1",
"900210",205,"3",1482661,"1",
"900210",632,"4",1482661,"1",
"900210",10836,"5",1482661,"1",
"980000",96907,"1",1482661,"1",
"980000",80682,"2",1482661,"1",
"980000",128128,"3",1482661,"1",
"980000",72146,"4",1482661,"1",
"980000",112092,"5",1482661,"1",
"980070",96907,"1",1482661,"1",
"980070",80682,"2",1482661,"1",
"980070",128128,"3",1482661,"1",
"980070",72146,"4",1482661,"1",
"980070",112092,"5",1482661,"1",
"900000",158732,"1",1482662,"1",
"900000",147748,"2",1482662,"1",
"900000",90857,"3",1482662,"1",
"900000",44555,"4",1482662,"1",
"900000",67473,"5",1482662,"1",
"900120",1290,"1",1482662,"1",
"900120",1018,"2",1482662,"1",
"900120",287,"3",1482662,"1",
"900120",1,"4",1482662,"1",
"900120",260,"5",1482662,"1",
"900150",2148,"1",1482662,"1",
"900150",7788,"2",1482662,"1",
"900150",4776,"3",1482662,"1",
"900150",6720,"4",1482662,"1",
"900150",15000,"5",1482662,"1",
"900210",5068,"1",1482662,"1",
"900210",24814,"2",1482662,"1",
"900210",4988,"3",1482662,"1",
"900210",5169,"4",1482662,"1",
"900210",16650,"5",1482662,"1",
"980000",167238,"1",1482662,"1",
"980000",181368,"2",1482662,"1",
"980000",100908,"3",1482662,"1",
"980000",56445,"4",1482662,"1",
"980000",99383,"5",1482662,"1",
"980070",167238,"1",1482662,"1",
