"UCC","AMOUNT","IMPNUM","NEWID","PUB_FLAG","AMOUNT_"
"980070",193313,"4",1419542,"1",
"980070",193204,"5",1419542,"1",
"900000",75000,"1",1419621,"1",
"900000",75000,"2",1419621,"1",
"900000",75000,"3",1419621,"1",
"900000",75000,"4",1419621,"1",
"900000",75000,"5",1419621,"1",
"900210",5000,"1",1419621,"1",
"900210",5000,"2",1419621,"1",
"900210",5000,"3",1419621,"1",
"900210",5000,"4",1419621,"1",
"900210",5000,"5",1419621,"1",
"980000",80000,"1",1419621,"1",
"980000",80000,"2",1419621,"1",
"980000",80000,"3",1419621,"1",
"980000",80000,"4",1419621,"1",
"980000",80000,"5",1419621,"1",
"980070",83200,"1",1419621,"1",
"980070",83200,"2",1419621,"1",
"980070",83200,"3",1419621,"1",
"980070",83200,"4",1419621,"1",
"980070",83200,"5",1419621,"1",
"900000",75000,"1",1419622,"1",
"900000",75000,"2",1419622,"1",
"900000",75000,"3",1419622,"1",
"900000",75000,"4",1419622,"1",
"900000",75000,"5",1419622,"1",
"900210",5000,"1",1419622,"1",
"900210",5000,"2",1419622,"1",
"900210",5000,"3",1419622,"1",
"900210",5000,"4",1419622,"1",
"900210",5000,"5",1419622,"1",
"980000",80000,"1",1419622,"1",
"980000",80000,"2",1419622,"1",
"980000",80000,"3",1419622,"1",
"980000",80000,"4",1419622,"1",
"980000",80000,"5",1419622,"1",
"980070",83200,"1",1419622,"1",
"980070",83200,"2",1419622,"1",
"980070",83200,"3",1419622,"1",
"980070",83200,"4",1419622,"1",
"980070",83200,"5",1419622,"1",
"900000",281722,"1",1419631,"1","T"
"900000",281722,"2",1419631,"1","T"
"900000",281722,"3",1419631,"1","T"
"900000",281722,"4",1419631,"1","T"
"900000",281722,"5",1419631,"1","T"
"900180",100,"1",1419631,"1",
"900180",100,"2",1419631,"1",
"900180",100,"3",1419631,"1",
"900180",100,"4",1419631,"1",
"900180",100,"5",1419631,"1",
"980000",281822,"1",1419631,"1","T"
